	pid	text	explanation	target_of_sarcasm
689	919476763377524736	'you know that agile course must be good when it is advertised on facebook as a groupon offer . '	you know that agile course mustn't be good when it is advertised on facebook as a groupon offer.	quality of the agile course
690	836429016198430720	'<user> amazing customer service . would totally use them again  <user> <user>'	the author is pissed at <user> for such terrible customer service where the person left before resolving the issue.	<user>'s bad customer service
691	884657343979372544	my name is grace .. and okay .. i admit .. i 'm a bad influence ..  me emoji_2663 emoji_2665  emoji_15 emoji_15 emoji_15	it's dumb to say that people with name grace are a bad influence.	post judging people by names
692	907072356035825664	'my passwords are hashes so they are a pain to type . thank you <user> for forcing me to type it manually , i really appreciate that . '	the author is pissed at <user> for forcing him to type his passwords, which are hashes, manually.	<user> 
693	898594516944289793	yes , <user> , that 's the important news of today . 	first hooters girl lynne austin looking back at her success isn't an important news of today.	<user>'s news
694	923947999444783105	'looking thrilled ! '	the author isn't looking thrilled.	look of the author
695	914831422132772865	'how to know if a terrorist is responsible for the the deadliest shooting in america '	this isn't a way to know if a terrorist is responsible for the deadliest shooting in america.	racism in america
696	822848979696291841	'but these are the kinda people we want in our country ... right ? not these damn illegals ! '	these are the kind of people no one wants in their country.	trump's followers
697	885040582665662464	'that moment when wikipedia has blocked editing . not that wikipedia is a legit source but kudos to <user> team . # calibrigate '	wikipedia has blocked editing for the article on a font which isn't a serious matter.	<user> team
698	917940074527965185	'got a call from russia today . bet it was legit . '	the author doesn't think the call she received from russia today was legit.	call from russia being legit
699	910191978486419457	'wow $ 70 cheaper what a difference android users  emoji_321'	$70 cheaper isn't a big difference.	small difference in cost of android compared to apple
700	858802235664285696	anyone remember # maroon5 's latest # jazz album ? so good ... 	maroon5 don't do jazz.	maroon5 not playing jazz
701	802576734117691392	clearly it 's not hard to tell how much i love pa  emoji_145	clearly it's not hard to tell how much the author hates pennsylvania.	author hating pennsylvania
702	702773760617750528	'seriously glad i chose <user> over <user> now '	the author is sad to have chosen <user> over <user> now that he has to pay monthly.	<user> for paying monthly
703	687478220090806273	<user> i didn 't want to eat this taco , i just wanted it to disintegrate on my plate . thanks , guys ! 	the author is disappointed with <user> that this taco disintegrated on the plate before the author could eat it.	disintegrating taco
704	880942335063764992	'what a lovely saturday morning to get up early for yoga ! # melbourne # winter # yoga  emoji_543'	it's a terribly cold saturday morning to get up early for yoga.	getting up for yoga in a cold Saturday morning
705	854612370009849856	' # climate_change # climate_change # climate_change # etc what is better than winter in the spring ? winter in the summer .'	neither winter in the spring nor winter in the summer is good.	climate change
706	730023926038822913	'a little taste of some of the fun folks are having on the roads this morning ...  # brutalcommute'	a little taste of some of the discomfort folks are having on the roads this morning.	rash driving on the road
707	916750078576087040	wow ! <user> really knows how to reward it 's most loyal customers . 	<user> doesn't really know how to reward it's most loyal customers since the member offers is costlier than standard rates.	having the same rate for members and non members
708	934938601439162369	anyone who tells you <user> isn 't great , don 't believe them . just look at this quality . 	it's believable that <user> is great, looking at such bad quality.	bad quality of the <user>
709	724766456454496256	'with <user> at washington dc , such a good view from our room , '	the author doesn't have a good view from their room.	bad view from the room
710	905543627153297409	it 's 22:30 and it 's 24 ┬░ oh i can 't wait to come home to the british weather  # tenerife emoji_586	the author wouldn't want to come home to the british weather.	british weather
711	703091951915020288	'oh the joys of unsolicited dick pictures  # camgirlproblems'	it's not a joy to get unsolicited dick pictures.	unsolicited dick pictures
712	828030263359741954	i 'm sorry # usps , but this is terrible . why send my water bill to me at all ? all i got was my address . but i 'm glad you care . 	the author is pissed at usps to have sent just the address on the water bill and not the bill itself, and claiming that they care.	usps for sending the bill
713	692551219542396929	'offerup is such a great tool for selling things '	offerup isn't a great tool for selling things, the author has mentioned firm price and still people negotiate.	offerup as people negotiate for price there
714	702524431005061120	definitely wouldn 't want to hurt the feelings of the person who is raping you ΓÇª  # isthisserious	the reason for getting consent is that if not taken then it is a rape.	getting consent of the other person
715	857975865103327234	'monica schneider makes provocative claim that gender mattered in the <num> campaign . '	gender hadn't mattered in the <num> campaign.	<num> campaign 
716	902892101637111808	'ah ! so i found my parcel <user> obviously lovingly cared for by <user>  # damaged # didntevenknockonthedoor # '	the author found her parcel in a damaged state.	delivery man 
717	878616134907568128	wow ! life changing comment this morning ! * applause * my life will never be the same now , and i 've never heard this before ! 	the author got a terrible comment this morning saying she mutilated herself.	bad comment 
718	892156799717134337	'# tropicalstormemily we will not forget and we will rebuild . '	tropical storm emily isn't serious, just a few drops.	tropical storm being mild
719	914974404186181632	"'<user> thanks for the privacy breach & <user> thanks for the "" resolved ""  wtf happened ? were you hacked ? emoji_75'"	the author is disappointed with <user> for the privacy breach.	<user> for privacy beach
720	930837616240427009	thank you <user> for truly being the voice of the american people . your ( lack of ) compassion , sympathy , and common sense is unparalleled and it 's amazing to think of all the power you have in your tiny , tiny hands . # maga 	<user> isn't truly being the voice of the american people, it's awful to think of all the power <user> has in his hands.	<user> for not caring for american people
